Date,Commit ID,Classification,L,P,S,E,M,Description,Notes
2024-09-08,d607e0e7a8d2,Refactoring,,,,Y,,kconfig: change some expr_*() functions to bool,
2024-09-08,f93d6bfbd2f7,Other,,,,Y,Y,kconfig: use hash table to reuse expressions,performance optimization
2024-09-25,4d46b5b623e0,Bug Fix,,Y,,,,kconfig: fix infinite loop in sym_calc_choice(),
2024-09-30,6971f7192c12,Refactoring,,Y,,,,kconfig: remove zconfprint(),
2024-09-30,bea2c5ef789a,Syntactic change,,Y,,,,"kconfig: remove support for ""bool"" prompt for choice entries",
2024-10-01,8d095547debd,Bug Fix,,,,Y,,kconfig: clear expr::val_is_valid when allocated,
2024-10-24,bce590f10207,Refactoring,,,Y,,,kconfig: add sym_get_prompt_menu() helper function,
2024-10-27,d01661e1f422,Bug Fix,,,,,Y,kconfig: show sub-menu entries even if the prompt is hidden,
2025-01-20,a409fc1463d6,Bug Fix,,,Y,,,kconfig: fix memory leak in sym_warn_unmet_dep(),
2025-02-08,ab5bc764bdc2,Refactoring,,,Y,,,kconfig: remove unnecessary cast in sym_get_string(),
2025-05-28,0f57c75973be,Refactoring,,Y,,,Y,kconfig: introduce menu type enum,
Pre-git,V2.5.45,Other,Y,Y,Y,Y,Y,First Konfig implementation,
Pre-git,V2.5.47,Semantic change,,Y,,,,modification of how string literals are parsed.(processing unescaped newlines).,
Pre-git,V2.5.52,Syntactic change & Semantic change,Y,Y,Y,,,There are new rules in lexer which altering how input tokenized. New grammar rules in parser. In symbol.c changes potentially influencing Kconfig Uis.,
Pre-git,V2.5.65,Syntactic change & Semantic change,Y,Y,Y,,Y,"new keyword menuconfig and token T_MENUCONFIG, new grammar rules to parse menuconfig statements.",
Pre-git,V2.5.71,Syntactic change & Semantic change,Y,Y,Y,Y,Y,"Major change. new keywords (def_tristate, def_bool/def_boolean, select/enable, range). Symbol value calculation is rewritten. Zconf.y addition of dependency cycle check",
Pre-git,v2.6.10,Semantic change,Y,,Y,Y,,In symbol.c changes alters how a symbols visibility and final value are determined. In expr new optimization rule added.,
Pre-git,v2.6.11,Semantic change,Y,,Y,Y,,"New functionality added in symbol.c, searching for Kconfig symbols. Probably usefull for Kconfig Uis",
